gnome-color-manager 3.36.2-1
gnome-control-center 49.0-1
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-disk-utility 46.1-2
gnome-keybindings 49.0-1
gnome-keyring 1:48.0-1
gnome-menus 3.36.0-3
gnome-online-accounts 3.56.0-1
gnome-session 49.0-1
gnome-settings-daemon 49.0-1
gnome-shell 1:49.0-2
gnome-shell-extensions 49.0-1
gnome-system-monitor 49.0-1
gnome-tweaks 49.0-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
go 2:1.25.1-2
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
gperftools 2.17.2-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphite 1:1.3.14-5
grcov 0.10.5-1
grep 3.12-2
grim 1.5.0-2
grimblast-git r137.6839b23-1
groff 1.23.0-7
grub 2:2.12.r359.g19c698d12-1
grub-btrfs 4.14-1
grub-customizer 5.2.5-2
grub-customizer-debug 5.2.5-2
gsettings-desktop-schemas 49.0-1
gsettings-system-schemas 49.0-1
gsfonts 20200910-5
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.4-1
gst-plugin-gtk4 0.14.2-1
gst-plugin-pipewire 1:1.4.8-2
gst-plugins-bad-libs 1.26.6-2
gst-plugins-base 1.26.6-2
gst-plugins-base-libs 1.26.6-2
gst-plugins-good 1.26.6-2
gstreamer 1.26.6-2
gtest 1.17.0-1
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.20.1-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.50-1
gtk4 1:4.20.1-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
guile 3.0.10-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.0-1
gvfs-afc 1.58.0-1
gvfs-mtp 1.58.0-1
gvim 9.1.1734-1
gzip 1.14-2
harfbuzz 11.5.1-1
